,clusters,x,y,Cluster_count,Fx,Fy,magnitude
140,139,1339.0643181818182,2796.1181818181817,44,15268.537899999998,-30118.8868,33767.966946130335
141,140,1321.3742000000002,3300.7803999999996,50,-5948.131040000001,102317.04583,102489.795249319
142,141,-853.022224137931,3382.584655172414,116,439340.38317,-14432.573,439577.37822522526
143,142,-712.4113875968992,3254.370697674419,129,386490.0789,-192338.4815,431704.38097597996
144,143,-1500.115573770492,-2529.7174590163936,122,-237056.23799999998,14193.147099999998,237480.74742874395
145,144,1230.701111111111,3237.155,36,-21662.9487,73819.56999999999,76932.51758108355
146,145,1085.877012987013,3053.942077922078,77,-73155.38040000001,10535.472200000002,73910.12011859863
147,146,1549.3690276356192,3086.7729170931425,977,-1179316.28455,381608.12627,1239520.738446968
148,147,1076.7216279069767,2853.4987596899227,129,-241018.0566,63353.033599999995,249205.35803542336
149,148,1048.9742857142858,2684.404761904762,21,-40616.718,795.2089999999989,40624.50170088496
150,149,1199.4591764705883,2707.9070588235295,85,-51964.958,-20800.7188,55973.44694172798
151,150,3774.8108450704226,-183.6974647887324,71,-198784.28675,-202385.3032,283681.1654129723
152,151,-2879.3131386861314,-1026.537394160584,137,-734779.884,-287773.33900000004,789122.91347436
153,152,-1502.2468115942029,-3327.471739130435,69,-633739.6314,-796798.394,1018093.1200474675
154,153,-1613.6104347826088,-3283.4291304347826,23,-30605.787,-105363.356,109718.50794406614
155,154,-1725.0332258064516,-3242.2583870967746,93,-71421.17909,45611.6048,84743.16087471152
156,155,-2475.539795918367,-1985.913367346939,294,-889932.6118000001,-226506.625881,918305.6708488547
157,156,-2425.134035087719,-1575.5401754385964,57,-555758.82599,7004.106500000004,555802.9598460649
158,157,-2291.7436666666667,-1672.998,30,-133141.1225,-2195.477149999999,133159.22281417903
159,158,-2264.5099999999998,-1837.4225268817206,186,-270020.93935,-361886.49005,451523.1327054741
160,159,-2451.5767142857144,-1677.6312857142857,70,-275259.84165,29708.1594,276858.36660668015
161,160,-2490.5691428571427,-1782.106857142857,35,-151231.2292,4826.003499999997,151308.2119223043
162,161,-1593.6220954356845,-3139.2140248962655,482,-1147853.68856,-732538.48085,1361683.0454503072
163,162,-2392.4887179487177,1417.8603846153846,78,5341.39729999999,31516.578,31966.000906377565
164,163,45.58505592592593,-3109.7957407407407,54,-76613.9606,170381.2949,186814.03750954886
165,164,-82.82493505576208,-3064.76531598513,269,-84611.05162,246202.296055,260335.55392799535
166,165,-2362.0645,1050.6361499999998,20,-13264.047499999999,-13929.506000000001,19234.502683622788
167,166,-2168.331127819549,3055.639323308271,133,-88312.2607,64995.9175,109651.83391814097
168,167,-2749.4523809523807,2196.32,21,-21996.2364,-1341.9882999999988,22037.135666007547
169,168,-2423.517876712329,1206.1324315068493,292,-122039.61369999999,-3199868.5459,3202194.931348219
170,169,-2822.145,2231.885,52,-82068.1245,-34409.7898,88989.94714588657
171,170,-2883.0847265625,1910.7537890625,1024,1944491.5755,-89368.79973999999,1946544.186387106
172,171,-2534.7510344827588,2353.9882758620693,29,-72452.321,9098.345489999998,73021.35789577213
173,172,-1990.398431372549,938.1890588235294,51,-90996.634,457335.27499999997,466300.2693100826
174,173,-2431.1934375,2567.845625,32,-11270.274,56227.93587,57346.31503624195
175,174,-2105.253804347826,-3090.0926630434783,184,358906.83546,703605.2881312,789857.2769976235
176,175,-2593.9791836734694,2473.9967346938774,49,-69855.0212,-35080.1655,78168.67658058336
177,176,-2233.992962962963,-2871.9022222222225,27,-48750.612199999996,60911.027,78017.78899757104
178,177,-2379.011960784314,2890.717450980392,51,-12811.43104,-51254.823000000004,52831.71061071187
179,178,-2551.2807894736843,2750.3113157894736,76,-66777.44481,1652.5879299999997,66797.89055216472
180,179,-2480.8155714285713,2812.5625714285716,70,-20760.186,-54345.124599999996,58175.406234457194
181,180,-2768.218037383178,1703.9459813084113,107,-295309.092,190197.495,351258.5186470778
182,181,-2779.5575619114056,1426.1338053714685,2867,6536955.9574947,-460549.594504,6553159.476101833
183,182,-1248.4339423076924,-2914.4176923076925,104,-242593.219,-97759.7793,261550.08001062946
184,183,-2400.936882352941,-2828.1004705882356,170,-1066248.4999,-1158242.7636,1574297.3553210224
185,184,-1276.965909090909,-2602.414090909091,22,-6243.6709,-9124.931,11056.57234690154
186,185,-1280.2023456790123,-2706.644197530864,81,21533.990400000002,-59923.79750000001,63675.538862017485
187,186,-1129.2055450236967,-2880.2830331753553,211,-299364.61656,-169987.4997,344259.96529130905
188,187,-1134.2080952380952,-2988.041904761905,21,-2859.5254000000004,3380.9074,4428.026689239793
189,188,-2299.9296610169495,-2786.4684745762715,59,-37202.2235,23523.58951,44015.5051860016
190,189,-2276.1252173913044,-2737.41347826087,23,829.91457,136068.67338,136071.20427771122
191,190,-882.69216,-3134.2684,75,-84994.62223000001,47096.910209999995,97171.00781276899
192,191,-2078.9016279069765,-2696.880930232558,129,-418640.675,-155114.0869,446453.12712453515
193,192,-2942.57447761194,2270.6032835820897,67,-63036.7794,26059.5452,68210.96285169348
194,193,-1806.6749333333332,-2632.2204,75,-391308.3392,-225066.397,451416.76905718056
195,194,-1859.7619310344826,-3089.6021379310346,145,-71858.95766,13479.862019999999,73112.35515328385
196,195,-2698.6170370370373,2434.4533333333334,27,-45632.19573,-2972.5699999999997,45728.91273085257
197,196,-1006.8234749999999,-3275.25,40,-40915.1851,-2520.6642999999995,40992.75692461483
